"CALENDAR.YEAR","CATEGORY","AGENCY.NAME","X1..PIT.OFFSET.COUNT","X1..PIT.OFFSET.AMOUNT","X2..LOTTERY.OFFSET.COUNT","X2..LOTTERY.OFFSET.AMOUNT","X3..UNCLAIMED.PROPERTY.OFFSET.COUNT","X3..UNCLAIMED.PROPERTY.OFFSET.AMOUNT","Total.OFFSET.COUNT","Total.OFFSET.AMOUNT","AGENCY_CLEAN","Year","PIT_Count","PIT_Amount","Lottery_Count","Lottery_Amount","UCP_Count","UCP_Amount","Total_Count","Total_Amount","Lottery_UCP_Amount","Lottery_UCP_Count"
"CY2018","2 - CITY","CITY OF RANCHO CORDOVA 229","229","$54,206.09","","","2","$269.09","231","$54,475.18","CITY OF RANCHO CORDOVA",2018,229,54206.09,0,0,2,269.09,231,54475.18,269.09,2
"CY2018","2 - CITY","CITY OF VISTA 45","45","$14,254.38","","","1","$100.79","46","$14,355.17","CITY OF VISTA",2018,45,14254.38,0,0,1,100.79,46,14355.17,100.79,1
"CY2018","2 - CITY","CITY OF CHINO HILLS 4","4","$891.00","","","","","4","$891.00","CITY OF CHINO HILLS",2018,4,891,0,0,0,0,4,891,0,0
"CY2018","2 - CITY","CITY OF FRESNO 2,276 $280,268.53","2,276","$280,268.53","9","$1,527.00","60","$5,090.57","2,345","$286,886.10","CITY OF FRESNO",2018,2276,280268.53,9,1527,60,5090.57,2345,286886.1,6617.57,69
"CY2018","2 - CITY","CITY OF IRVINE 56","56","$6,143.00","1","$132.00","2","$179.97","59","$6,454.97","CITY OF IRVINE",2018,56,6143,1,132,2,179.97,59,6454.97,311.97,3
"CY2018","2 - CITY","CITY OF CONCORD 234","234","$46,377.03","5","$1,615.10","7","$1,210.15","246","$49,202.28","CITY OF CONCORD",2018,234,46377.03,5,1615.1,7,1210.15,246,49202.28,2825.25,12
"CY2018","2 - CITY","CITY OF PERRIS 345","345","$39,674.31","2","$234.00","11","$1,121.52","358","$41,029.83","CITY OF PERRIS",2018,345,39674.31,2,234,11,1121.52,358,41029.83,1355.52,13
"CY2018","2 - CITY","CITY OF LA PUENTE 4","4","$726.00","","","","","4","$726.00","CITY OF LA PUENTE",2018,4,726,0,0,0,0,4,726,0,0
"CY2018","2 - CITY","CITY OF BEVERLY HILLS 248","248","$39,279.21","3","$435.00","6","$851.88","257","$40,566.09","CITY OF BEVERLY HILLS",2018,248,39279.21,3,435,6,851.88,257,40566.09,1286.88,9
"CY2018","2 - CITY","CITY OF LOMPOC 110","110","$17,822.46","1","$225.00","2","$254.94","113","$18,302.40","CITY OF LOMPOC",2018,110,17822.46,1,225,2,254.94,113,18302.4,479.94,3
"CY2018","2 - CITY","CITY OF SANTA ROSA 4","4","$1,336.00","","","","","4","$1,336.00","CITY OF SANTA ROSA",2018,4,1336,0,0,0,0,4,1336,0,0
"CY2018","2 - CITY","HOUSING AUTHORITY SAN LUIS OBISPO 11","11","$4,803.50","","","","","11","$4,803.50","HOUSING AUTHORITY SAN LUIS OBISPO",2018,11,4803.5,0,0,0,0,11,4803.5,0,0
"CY2018","2 - CITY","FULLERTON POLICE DEPARTMENT 865 $126,787.88","865","$126,787.88","7","$959.00","22","$1,925.64","894","$129,672.52","FULLERTON POLICE DEPARTMENT",2018,865,126787.88,7,959,22,1925.64,894,129672.52,2884.64,29
"CY2018","2 - CITY","CITY OF SAN FERNANDO 354","354","$53,031.37","6","$598.00","8","$430.98","368","$54,060.35","CITY OF SAN FERNANDO",2018,354,53031.37,6,598,8,430.98,368,54060.35,1028.98,14
"CY2018","2 - CITY","CITY OF SEAL BEACH 47","47","$7,705.53","","","","","47","$7,705.53","CITY OF SEAL BEACH",2018,47,7705.53,0,0,0,0,47,7705.53,0,0
"CY2018","2 - CITY","CITY OF HAWTHORNE 1,854 $300,338.77","1,854","$300,338.77","15","$3,676.00","37","$2,908.39","1,906","$306,923.16","CITY OF HAWTHORNE",2018,1854,300338.77,15,3676,37,2908.39,1906,306923.16,6584.39,52
"CY2018","2 - CITY","CITY OF ANAHEIM 113","113","$30,727.24","2","$1,181.50","5","$508.51","120","$32,417.25","CITY OF ANAHEIM",2018,113,30727.24,2,1181.5,5,508.51,120,32417.25,1690.01,7
"CY2018","2 - CITY","CITY OF SANTA CLARA 189","189","$10,629.20","","","2","$91.74","191","$10,720.94","CITY OF SANTA CLARA",2018,189,10629.2,0,0,2,91.74,191,10720.94,91.74,2
"CY2018","2 - CITY","CITY OF ROCKLIN 30","30","$3,172.00","","","","","30","$3,172.00","CITY OF ROCKLIN",2018,30,3172,0,0,0,0,30,3172,0,0
"CY2018","2 - CITY","CITY OF SANTA CLARA 249","249","$32,903.20","1","$116.00","2","$130.21","252","$33,149.41","CITY OF SANTA CLARA",2018,249,32903.2,1,116,2,130.21,252,33149.41,246.21,3
"CY2018","2 - CITY","CITY OF CAPITOLA 181","181","$17,068.37","2","$123.00","5","$317.02","188","$17,508.39","CITY OF CAPITOLA",2018,181,17068.37,2,123,5,317.02,188,17508.39,440.02,7
"CY2018","2 - CITY","CITY OF CARLSBAD 73","73","$9,764.58","","","9","$568.08","82","$10,332.66","CITY OF CARLSBAD",2018,73,9764.58,0,0,9,568.08,82,10332.66,568.08,9
"CY2018","2 - CITY","CITY OF ESCONDIDO 196","196","$24,944.68","","","4","$315.49","200","$25,260.17","CITY OF ESCONDIDO",2018,196,24944.68,0,0,4,315.49,200,25260.17,315.49,4
"CY2018","2 - CITY","CITY OF CARSON 33","33","$9,840.83","","","2","$88.69","35","$9,929.52","CITY OF CARSON",2018,33,9840.83,0,0,2,88.69,35,9929.52,88.69,2
"CY2018","2 - CITY","CITY OF HEMET 163","163","$22,560.14","2","$739.32","8","$896.94","173","$24,196.40","CITY OF HEMET",2018,163,22560.14,2,739.32,8,896.94,173,24196.4,1636.26,10
