CALENDAR YEAR,CATEGORY,AGENCY NAME,1. PIT OFFSET COUNT,1. PIT OFFSET AMOUNT,2. LOTTERY OFFSET COUNT,2. LOTTERY OFFSET AMOUNT,3. UNCLAIMED PROPERTY OFFSET COUNT,3. UNCLAIMED PROPERTY OFFSET AMOUNT,Total OFFSET COUNT,Total OFFSET AMOUNT
CY2018,2 - CITY,CITY OF SAN,340,"$71,013.65",1,$250.00,10,"$1,020.62",351,"$72,284.27"
CY2018,2 - CITY,CITY OF CERRITOS,8,"$1,817.27",,,,,8,"$1,817.27"
CY2018,2 - CITY,CITY OF LAKE FOREST,4,"$1,951.00",,,,,4,"$1,951.00"
CY2018,2 - CITY,OF COACHELLA PARK RANGER DIV,89,"$10,542.73",,,,,89,"$10,542.73"
CY2018,2 - CITY,CITY OF CONCORD,18,"$10,210.21",,,,,18,"$10,210.21"
CY2018,2 - CITY,CITY OF CORCORAN,3,$328.00,,,,,3,$328.00
CY2018,2 - CITY,,288,"$37,778.75",2,$145.00,8,$531.02,298,"$38,454.77"
CY2018,2 - CITY,AUTH.CITY OF SACRAMENTO,22,"$5,591.49",,,,,22,"$5,591.49"
CY2018,2 - CITY,OF CUDAHY,18,"$2,098.22",,,3,$219.10,21,"$2,317.32"
CY2018,2 - CITY,OF DALY CITY,"1,279","$240,966.32",5,$487.26,30,"$3,066.58","1,314","$244,520.16"
CY2018,2 - CITY,CITY OF PALMDALE,473,"$83,378.47",3,"$1,279.00",14,$869.66,490,"$85,527.13"
CY2018,2 - CITY,CITY OF DUARTE,90,"$21,908.70",1,$146.00,4,$176.15,95,"$22,230.85"
CY2018,2 - CITY,CITY OF ELK GROVE,21,"$3,777.95",,,2,$287.44,23,"$4,065.39"
CY2018,2 - CITY,CITY OF RIDGECREST,2,$189.40,,,10,$108.00,12,$297.40
CY2018,2 - CITY,CITY OF SANTA BARBARA PARKING,599,"$81,827.08",1,$96.00,16,$887.90,616,"$82,810.98"
CY2018,2 - CITY,CITY OF ESCALON,22,"$2,925.98",1,$35.00,1,$14.00,24,"$2,974.98"
CY2018,2 - CITY,CITY OF ESCONDIDO,34,"$19,233.58",,,,,34,"$19,233.58"
CY2018,2 - CITY,CITY OF SAN JACINTO,498,"$64,526.57",2,$205.00,13,"$1,020.64",513,"$65,752.21"
CY2018,2 - CITY,CITY OF POWAY,7,"$1,544.00",,,,,7,"$1,544.00"
