CALENDAR YEAR,CATEGORY,AGENCY NAME,1. PIT OFFSET COUNT,1. PIT OFFSET AMOUNT,2. LOTTERY OFFSET COUNT,2. LOTTERY OFFSET AMOUNT,3. UNCLAIMED PROPERTY OFFSET COUNT,3. UNCLAIMED PROPERTY OFFSET AMOUNT,Total OFFSET COUNT,Total OFFSET AMOUNT
CY2019,2 - CITY,CITY OF IRVINE,40,"$5,908.87",,,4,$11.38,44,"$5,920.25"
CY2019,2 - CITY,CITY OF PALMDALE,4,$389.19,1,$0.73,,,5,$389.92
CY2019,2 - CITY,CITY OF SOUTH SAN FRANCISCO,178,"$32,544.06",3,$701.89,5,$256.60,186,"$33,502.55"
CY2019,2 - CITY,CITY OF TUSTIN,251,"$45,170.74",3,$863.00,2,$55.34,256,"$46,089.08"
CY2019,2 - CITY,CITY OF VICTORVILLE,153,"$43,909.74",2,"$1,532.00",4,$167.78,159,"$45,609.52"
CY2019,2 - CITY,CITY OF WEST HOLLYWOOD,535,"$70,661.00",2,$263.00,31,"$2,030.17",568,"$72,954.17"
CY2019,2 - CITY,CITY OF ORANGE,713,"$94,905.71",11,"$1,640.00",17,$705.82,741,"$97,251.53"
CY2019,2 - CITY,CITY OF SAN BERNARDINO,"1,701","$261,913.92",8,"$1,024.00",19,"$1,823.94","1,728","$264,761.86"
CY2019,2 - CITY,CITY OF YUBA CITY,87,"$16,292.54",5,$328.56,,,92,"$16,621.10"
CY2019,2 - CITY,CITY OF LOS ANGELES,785,"$161,482.72",8,"$3,100.00",14,"$1,531.58",807,"$166,114.30"
CY2019,2 - CITY,CITY OF DEL MAR,168,"$15,790.66",5,$256.00,,,173,"$16,046.66"
CY2019,2 - CITY,CITY OF ARCADIA,123,"$22,809.77",2,"$1,045.00",1,$143.00,126,"$23,997.77"
CY2019,2 - CITY,CITY OF WESTMINSTER,368,"$43,794.18",5,$583.00,10,$575.81,383,"$44,952.99"
CY2019,2 - CITY,CITY OF COSTA MESA,477,"$46,795.58",6,$569.50,10,$678.14,493,"$48,043.22"
CY2019,2 - CITY,TAHOE CITY OF SOUTH LAKE,31,"$10,794.00",,,,,31,"$10,794.00"
CY2019,2 - CITY,INDIO CITY OF,29,"$18,264.23",,,,,29,"$18,264.23"
CY2019,2 - CITY,CITY OF ANAHEIM,"1,139","$158,711.52",12,"$1,140.00",27,"$1,351.87","1,178","$161,203.39"
CY2019,2 - CITY,CITY OF VISTA,569,"$110,342.47",4,"$1,061.00",3,$320.16,576,"$111,723.63"
CY2019,2 - CITY,CITY OF PALO ALTO,233,"$42,558.70",1,$68.00,14,"$1,024.88",248,"$43,651.58"
CY2019,2 - CITY,OF HUGHSON CITY,9,"$1,924.21",,,,,9,"$1,924.21"
CY2019,2 - CITY,CITY OF BUENA PARK,632,"$82,115.85",6,$530.00,3,$203.00,641,"$82,848.85"
CY2019,2 - CITY,MIRAGE CITY OF RANCHO,25,"$9,222.90",1,$250.00,,,26,"$9,472.90"
CY2019,2 - CITY,CITY OF TORRANCE,366,"$51,892.76",2,$156.00,9,$249.84,377,"$52,298.60"
CY2019,2 - CITY,CITY OF UNION CITY,193,"$41,271.33",1,$700.00,7,$849.52,201,"$42,820.85"
CY2019,2 - CITY,CITY OF ALAMEDA,111,"$19,062.96",3,$349.00,7,$606.96,121,"$20,018.92"
CY2019,2 - CITY,CERES CITY OF,54,"$8,220.00",1,$119.00,,,55,"$8,339.00"
CY2019,2 - CITY,BEACH CITY OF IMPERIAL,22,"$4,169.78",1,$133.00,,,23,"$4,302.78"
CY2019,2 - CITY,CITY OF LOS ALAMITOS CODE,1,$388.00,,,,,1,$388.00
CY2019,2 - CITY,CITY OF NORWALK,581,"$108,650.90",6,"$1,322.46",5,$796.16,592,"$110,769.52"
CY2019,2 - CITY,JOSE CITY OF SAN,25,"$16,708.50",7,"$2,304.83",,,32,"$19,013.33"
CY2019,2 - CITY,SOUTH GATE CITY OF,33,"$3,593.22",7,$354.54,,,40,"$3,947.76"
CY2019,2 - CITY,HUGHSON CITY OF,19,"$3,489.94",1,$214.18,1,$199.60,21,"$3,903.72"
CY2019,2 - CITY,CITY OF ESCALON,16,"$4,258.50",1,$44.00,,,17,"$4,302.50"
CY2019,2 - CITY,PARK CITY OF MONTEREY,37,"$2,826.20",6,$486.00,6,$127.30,49,"$3,439.50"
CY2019,2 - CITY,CITY OF LOS ANGELES (LADOT),"14,560","$2,984,773.06",97,"$32,432.24",245,"$23,650.19","14,902","$3,040,855.49"
CY2019,2 - CITY,DEPARTMENT MENLO PARK POLICE,79,"$15,551.29",1,$96.73,7,$294.51,87,"$15,942.53"
CY2019,2 - CITY,CITY OF LONG BEACH,275,"$84,720.01",4,"$2,880.47",5,$730.76,284,"$88,331.24"
CY2019,2 - CITY,CITY OF LOS ANGELES,130,"$58,709.35",2,"$2,178.87",11,"$4,296.76",143,"$65,184.98"
CY2019,2 - CITY,CITY OF SANTA FE SPRINGS,1,$221.00,,,,,1,$221.00
CY2019,2 - CITY,CORDOVA CITY OF RANCHO,98,"$21,989.97",1,$823.00,2,$8.38,101,"$22,821.35"
CY2019,2 - CITY,CITY OF COTATI,29,"$1,579.36",,,,,29,"$1,579.36"
CY2019,2 - CITY,PETALUMA CITY OF,104,"$11,020.29",2,$196.00,1,$70.75,107,"$11,287.04"
CY2019,2 - CITY,CITY OF LODI,88,"$11,394.69",1,$2.50,,,89,"$11,397.19"
CY2019,2 - CITY,OF RIALTO CITY,318,"$65,750.07",3,$398.12,7,$701.50,328,"$66,849.69"
CY2019,2 - CITY,GLENDALE CITY OF,938,"$145,906.91",9,"$1,999.00",15,$761.64,962,"$148,667.55"
CY2019,2 - CITY,CITY OF NORCO,105,"$22,262.85",3,$318.86,,,108,"$22,581.71"
CY2019,2 - CITY,CITY OF EASTVALE,3,$586.57,,,,,3,$586.57
CY2019,2 - CITY,CITY OF CARSON,299,"$41,278.40",3,"$1,420.00",5,$468.14,307,"$43,166.54"
CY2019,2 - CITY,OAKLAND - RMB CITY OF,179,"$63,355.26",2,$714.00,8,"$1,521.68",189,"$65,590.94"
CY2019,2 - CITY,OF WEST COVINA CITY,516,"$80,107.65",4,$751.00,9,$343.91,529,"$81,202.56"
CY2019,2 - CITY,,15,"$1,036.00",,,,,15,"$1,036.00"
CY2019,2 - CITY,CITY OF LONG BEACH,"5,450","$944,375.10",65,"$16,370.18",121,"$14,054.78","5,636","$974,800.06"
CY2019,2 - CITY,CITY OF GLENDORA,126,"$16,852.24",1,$384.00,5,$288.82,132,"$17,525.06"
CY2019,2 - CITY,CITY OF PORT HUENEME,290,"$45,185.84",,,8,$732.47,298,"$45,918.31"
CY2019,2 - CITY,CITY OF SANTE FE SPRINGS,192,"$29,772.76",3,$836.80,2,$57.45,197,"$30,667.01"
CY2019,2 - CITY,SAN FRANCISCO MUNICIPAL TRANS AGNCY,"6,049","$1,610,404.15",16,"$9,174.00",76,"$10,226.37","6,141","$1,629,804.52"
CY2019,2 - CITY,CITY OF JURUPA VALLEY,130,"$26,740.08",,,3,$382.46,133,"$27,122.54"
CY2019,2 - CITY,CITY OF SAN BRUNO,165,"$32,639.91",,,4,$242.11,169,"$32,882.02"
CY2019,2 - CITY,CITY OF NAPA,186,"$50,687.96",1,$179.00,2,$206.00,189,"$51,072.96"
CY2019,2 - CITY,CITY OF POMONA,14,"$2,608.67",,,,,14,"$2,608.67"
CY2019,2 - CITY,CITY OF SOUTH EL MONTE,164,"$22,857.28",1,$773.00,2,$314.00,167,"$23,944.28"
CY2019,2 - CITY,CITY OF COLTON,277,"$53,881.60",1,$211.00,5,$530.01,283,"$54,622.61"
CY2019,2 - CITY,CITY OF FREMONT,262,"$50,255.84",2,$378.00,5,"$1,511.28",269,"$52,145.12"
CY2019,2 - CITY,CITY OF YORBA LINDA,24,"$2,743.85",,,,,24,"$2,743.85"
CY2019,2 - CITY,CITY OF SOLANA BEACH,27,"$2,620.55",,,,,27,"$2,620.55"
CY2019,2 - CITY,CITY OF EASTVALE,272,"$23,513.21",2,$154.00,7,$743.02,281,"$24,410.23"
CY2019,2 - CITY,CITY OF HAYWARD,500,"$133,203.54",3,$378.00,2,$274.89,505,"$133,856.43"
CY2019,2 - CITY,CITY OF ROSEMEAD,212,"$26,797.64",2,$156.00,5,$372.67,219,"$27,326.31"
CY2019,2 - CITY,CITY OF SANTA CLARITA,22,"$11,067.63",,,,,22,"$11,067.63"
CY2019,2 - CITY,CITY OF LA QUINTA,41,"$2,499.00",,,,,41,"$2,499.00"
CY2019,2 - CITY,CITY OF COVINA,269,"$42,133.81",1,$101.00,5,$321.59,275,"$42,556.40"
CY2019,2 - CITY,CITY OF LIVE OAK,9,"$1,172.08",,,,,9,"$1,172.08"
CY2019,2 - CITY,CITY OF ATWATER,44,"$7,872.47",,,2,$246.39,46,"$8,118.86"
CY2019,2 - CITY,CITY OF MADERA,12,"$2,210.50",,,,,12,"$2,210.50"
CY2019,2 - CITY,SAN BERNARDINO MUNICIPAL WATER DEPT,131,"$13,498.78",1,$114.41,2,$9.97,134,"$13,623.16"
CY2019,2 - CITY,CITY OF BERKELEY,614,"$111,734.06",4,"$1,480.00",11,"$1,138.24",629,"$114,352.30"
CY2019,2 - CITY,CITY OF WHITTIER,419,"$63,593.33",2,$574.00,10,$514.32,431,"$64,681.65"
CY2019,2 - CITY,CITY OF INGLEWOOD,"7,329","$1,277,635.97",58,"$16,994.46",180,"$17,866.32","7,567","$1,312,496.75"
CY2019,2 - CITY,CITY OF HUNTINGTON PARK,"1,013","$169,086.55",10,"$1,486.70",6,$278.32,"1,029","$170,851.57"
CY2019,2 - CITY,BIGGS CITY OF,8,"$2,282.67",,,,,8,"$2,282.67"
CY2019,2 - CITY,CITY OF TEHACHAPI,19,"$3,774.44",3,$129.28,,,22,"$3,903.72"
CY2019,2 - CITY,COASTAL ANIMAL SERVICE AUTHORITY,44,"$11,017.73",2,$450.08,,,46,"$11,467.81"
CY2019,2 - CITY,CITY OF SIGNAL HILL,103,"$12,831.82",6,$443.41,,,109,"$13,275.23"
CY2019,2 - CITY,COACHELLA CITY OF,26,"$4,966.05",,,,,26,"$4,966.05"
CY2019,2 - CITY,CITY OF INGLEWOOD,"1,220","$253,344.44",3,$609.00,12,"$1,171.08","1,235","$255,124.52"
CY2019,2 - CITY,CITY OF DESERT HOT SPRINGS,14,"$3,493.01",1,$100.00,,,15,"$3,593.01"
CY2019,2 - CITY,CITY OF CHINO,213,"$57,205.34",4,$75.96,,,217,"$57,281.30"
CY2019,2 - CITY,CITY OF LAGUNA BEACH,241,"$20,953.52",2,$251.00,2,$205.42,245,"$21,409.94"
CY2019,2 - CITY,CITY OF KINGSBURG,6,$346.00,,,,,6,$346.00
CY2019,2 - CITY,OF WATERFORD CITY,14,"$2,102.75",,,,,14,"$2,102.75"
CY2019,2 - CITY,CITY OF BELL GARDENS,278,"$32,824.81",8,$304.35,,,286,"$33,129.16"
CY2019,2 - CITY,OF BELL CITY,8,$985.25,1,$260.00,,,9,"$1,245.25"
CY2019,2 - CITY,MAYWOOD CITY OF,294,"$37,699.83",2,$762.00,,,296,"$38,461.83"
CY2019,2 - CITY,MILLBRAE CITY OF,33,"$4,635.46",1,$170.69,,,34,"$4,806.15"
CY2019,2 - CITY,CITY OF MONTEREY,211,"$20,494.57",2,$90.00,2,$148.00,215,"$20,732.57"
CY2019,2 - CITY,WOODLAND CITY OF,133,"$15,900.95",1,$58.78,,,134,"$15,959.73"
CY2019,2 - CITY,SANTA BARBARA CODE CITY OF,2,$200.00,1,$13.25,,,3,$213.25
CY2019,2 - CITY,CITY OF IRVINE,10,"$1,395.00",,,,,10,"$1,395.00"
CY2019,2 - CITY,CITY OF CHICO,90,"$11,249.27",3,$52.01,,,93,"$11,301.28"
CY2019,2 - CITY,CITY OF DIAMOND BAR,101,"$20,870.22",1,$70.36,4,"$2,794.37",106,"$23,734.95"
CY2019,2 - CITY,CITY OF VENTURA,229,"$30,316.31",1,$315.00,3,$550.00,233,"$31,181.31"
CY2019,2 - CITY,OF COLMA TOWN,5,$507.63,1,$106.00,4,$126.00,10,$739.63
CY2019,2 - CITY,CITY OF CLEARLAKE,2,$251.00,,,,,2,$251.00
CY2019,2 - CITY,CITY OF BARSTOW,10,"$4,862.88",,,,,10,"$4,862.88"
CY2019,2 - CITY,CITY OF CLOVIS,99,"$10,359.92",,,,,99,"$10,359.92"
CY2019,2 - CITY,LOMITA CITY OF,169,"$29,864.38",1,$120.00,8,$572.31,178,"$30,556.69"
CY2019,2 - CITY,UPLAND CITY OF,238,"$26,854.32",2,$213.00,3,$105.72,243,"$27,173.04"
CY2019,2 - CITY,CITY OF HESPERIA,44,"$10,076.40",3,$180.08,,,47,"$10,256.48"
CY2019,2 - CITY,VALLEY POLICE DEPARTMENT MILL,53,"$7,420.83",2,$20.97,,,55,"$7,441.80"
CY2019,2 - CITY,CITY OF EL MONTE,69,"$32,605.25",,,,,69,"$32,605.25"
CY2019,2 - CITY,GATE CITY OF SOUTH,841,"$119,409.50",9,"$1,386.00",15,$683.84,865,"$121,479.34"
CY2019,2 - CITY,OF SAUSALITO CITY,84,"$11,647.46",1,$101.00,3,$227.25,88,"$11,975.71"
CY2019,2 - CITY,CITY OF COMPTON,30,"$7,225.58",2,$110.00,,,32,"$7,335.58"
CY2019,2 - CITY,CITY OF UKIAH,34,"$2,604.44",,,,,34,"$2,604.44"
CY2019,2 - CITY,OF BAKERSFIELD CITY,155,"$15,004.44",2,$135.00,5,$81.89,162,"$15,221.33"
CY2019,2 - CITY,CITY OF KERMAN,30,"$4,029.05",,,,,30,"$4,029.05"
CY2019,2 - CITY,CITY OF SAN MATEO,203,"$33,676.33",1,$401.00,9,$699.65,213,"$34,776.98"
CY2019,2 - CITY,,72,"$15,908.99",1,$37.00,,,73,"$15,945.99"
CY2019,2 - CITY,NEVADA CITY,38,"$3,839.70",,,,,38,"$3,839.70"
CY2019,2 - CITY,TOWN OF SAN ANSELMO,25,"$2,821.00",,,1,$189.14,26,"$3,010.14"
CY2019,2 - CITY,FAIRFAX POLICE DEPARTMENT,11,"$1,579.00",,,1,$524.00,12,"$2,103.00"
CY2019,2 - CITY,CITY OF CYPRESS,93,"$6,347.00",1,$27.00,1,$58.00,95,"$6,432.00"
CY2019,2 - CITY,CITY OF BURLINGAME,98,"$13,141.24",2,$218.00,4,$332.31,104,"$13,691.55"
CY2019,2 - CITY,CITY OF BELMONT,34,"$3,927.20",,,2,$192.00,36,"$4,119.20"
CY2019,2 - CITY,CITY OF VENTURA,140,"$28,013.13",4,"$1,430.64",3,$194.70,147,"$29,638.47"
CY2019,2 - CITY,CITY OF BALDWIN PARK,414,"$49,066.46",6,$985.00,8,$542.07,428,"$50,593.53"
CY2019,2 - CITY,LA CANADA FLINTRIDGE,14,"$1,862.00",,,,,14,"$1,862.00"
CY2019,2 - CITY,CITY OF OXNARD,"1,015","$140,410.22",5,$733.00,10,$696.33,"1,030","$141,839.55"
CY2019,2 - CITY,CITY OF CANYON LAKE,7,"$1,612.00",,,,,7,"$1,612.00"
CY2019,2 - CITY,CITY OF SAN GABRIEL,3,$700.00,,,,,3,$700.00
CY2019,2 - CITY,CITY OF PARAMOUNT,628,"$73,663.05",4,$507.00,8,$345.06,640,"$74,515.11"
CY2019,3 - COUNTY,- COUNTY ALAMEDA COUNTY AUDITOR-CONTROLLER,"3,158","$1,055,647.66",29,"$14,092.20",77,"$24,083.05","3,264","$1,093,822.91"
CY2019,3 - COUNTY,BUTTE COUNTY,"3,057","$1,108,328.99",25,"$22,211.73",68,"$11,445.84","3,150","$1,141,986.56"
CY2019,3 - COUNTY,DEL NORTE COUNTY,92,"$21,437.42",,,,,92,"$21,437.42"
CY2019,3 - COUNTY,FRESNO COUNTY,"1,759","$410,368.37",9,"$3,073.44",32,"$5,276.29","1,800","$418,718.10"
CY2019,3 - COUNTY,INYO COUNTY PROBATION DEPT.,14,"$1,322.34",,,,,14,"$1,322.34"
CY2019,3 - COUNTY,LASSEN COUNTY,104,"$29,955.46",,,2,$723.25,106,"$30,678.71"
CY2019,3 - COUNTY,LOS ANGELES COUNTY,18,"$16,198.23",,,5,$90.25,23,"$16,288.48"
CY2019,3 - COUNTY,MADERA COUNTY,15,"$2,726.73",2,"$2,047.71",1,$65.09,18,"$4,839.53"
CY2019,3 - COUNTY,MARIN COUNTY,133,"$37,794.18",2,$550.00,3,$538.73,138,"$38,882.91"
CY2019,3 - COUNTY,MARIPOSA COUNTY,17,"$6,598.13",1,$190.30,,,18,"$6,788.43"
CY2019,3 - COUNTY,MONTERREY COUNTY,"1,060","$378,646.69",10,"$9,042.99",37,"$3,576.19","1,107","$391,265.87"
CY2019,3 - COUNTY,NEVADA COUNTY,159,"$30,618.03",5,$808.60,,,164,"$31,426.63"
CY2019,3 - COUNTY,COUNTY OF ORANGE TTC,"5,180","$1,505,848.94",53,"$34,167.41",226,"$38,073.31","5,459","$1,578,089.66"
CY2019,3 - COUNTY,COUNTY OF PLACER,"3,817","$1,355,545.19",29,"$25,440.91",154,"$34,180.92","4,000","$1,415,167.02"
CY2019,3 - COUNTY,PLUMAS COUNTY,222,"$78,059.00",1,$819.00,8,$779.67,231,"$79,657.67"
CY2019,3 - COUNTY,COUNTY OF SACRAMENTO,"6,808","$2,258,373.35",69,"$57,359.70",219,"$83,675.21","7,096","$2,399,408.26"
CY2019,3 - COUNTY,SAN MATEO COUNTY REVENUE SERVICES,"6,573","$2,627,510.86",45,"$40,373.51",167,"$34,729.14","6,785","$2,702,613.51"
CY2019,3 - COUNTY,COUNTY OF SANTA CLARA,"5,186","$1,923,933.54",70,"$59,584.17",144,"$28,619.38","5,400","$2,012,137.09"
CY2019,3 - COUNTY,SANTA CRUZ COUNTY,333,"$50,036.75",8,$345.00,8,$487.25,349,"$50,869.00"
CY2019,3 - COUNTY,SISKIYOU COUNTY,17,"$2,412.15",1,$19.00,,,18,"$2,431.15"
CY2019,3 - COUNTY,STANISLAUS COUNTY,"2,612","$766,300.45",26,"$18,526.26",47,"$5,164.14","2,685","$789,990.85"
CY2019,3 - COUNTY,COUNTY OF TRINITY,26,"$4,559.57",1,$202.00,,,27,"$4,761.57"
CY2019,3 - COUNTY,TUOLUMNE COUNTY,650,"$278,019.80",4,"$2,215.68",14,"$1,713.80",668,"$281,949.28"
CY2019,3 - COUNTY,YOLO COUNTY COLLECTION SERVICES,383,"$101,020.36",6,"$2,402.85",10,$977.58,399,"$104,400.79"
CY2019,3 - COUNTY,MARIN COUNTY SHERIFF'S OFFICE,112,"$38,802.22",1,$396.00,2,$711.95,115,"$39,910.17"
CY2019,3 - COUNTY,SANTA BARBARA PROBATION,169,"$74,295.84",2,"$2,000.00",5,$425.09,176,"$76,720.93"
CY2019,3 - COUNTY,KERN COUNTY,158,"$13,964.06",1,$160.00,,,159,"$14,124.06"
CY2019,3 - COUNTY,SAN DIEGO COUNTY,"2,677","$825,316.92",14,"$10,120.23",57,"$10,294.49","2,748","$845,731.64"
CY2019,3 - COUNTY,LOS ANGELES COUNTY,608,"$200,044.69",1,$311.11,33,"$2,923.16",642,"$203,278.96"
CY2019,3 - COUNTY,LOS ANGELES COUNTY SHERIFF,"3,676","$718,713.40",32,"$9,085.00",60,"$6,224.32","3,768","$734,022.72"
CY2019,3 - COUNTY,SACRAMENTO COUNTY,"1,515","$340,718.76",9,"$2,404.58",41,"$4,724.62","1,565","$347,847.96"
CY2019,3 - COUNTY,CONTRA COSTA TREASURER TAX COLLECTO,465,"$124,461.53",7,"$2,518.48",19,"$1,993.00",491,"$128,973.01"
CY2019,3 - COUNTY,VENTURA COUNTY ANIMAL SERVICES,285,"$57,266.87",1,$230.00,14,$712.30,300,"$58,209.17"
CY2019,3 - COUNTY,KERN COUNTY TREASURER-TAX COLLECTOR,282,"$98,864.31",1,$290.58,20,"$2,974.35",303,"$102,129.24"
CY2019,3 - COUNTY,COUNTY OF SAN JOAQUIN,414,"$179,391.16",4,"$1,727.51",10,"$1,421.50",428,"$182,540.17"
CY2019,3 - COUNTY,COUNTY OF RIVERSIDE,"1,923","$571,590.01",12,"$7,249.00",26,"$4,505.81","1,961","$583,344.82"
CY2019,3 - COUNTY,COUNTY OF ORANGE,16,"$6,959.90",,,,,16,"$6,959.90"
CY2019,3 - COUNTY,COUNTY OF MONO,23,"$5,435.47",,,,,23,"$5,435.47"
CY2019,3 - COUNTY,RIVERSIDE FIRE DEPARTMENT COUNTY OF,20,"$4,715.51",,,,,20,"$4,715.51"
CY2019,3 - COUNTY,PROBATION HUMBOLDT COUNTY,72,"$21,018.15",1,$398.20,1,$60.00,74,"$21,476.35"
CY2019,3 - COUNTY,COUNTY OF SAN BERNARDINO,47,"$25,752.70",,,,,47,"$25,752.70"
CY2019,3 - COUNTY,CLARA COUNTY OF SANTA,341,"$39,820.64",3,$270.00,8,$131.51,352,"$40,222.15"
CY2019,3 - COUNTY,COUNTY MARIN,340,"$118,298.33",1,$177.00,18,"$5,569.06",359,"$124,044.39"
CY2019,3 - COUNTY,COLL RIVERSIDE COUNTY TREASURER-TAX,374,"$192,453.87",1,$547.12,10,"$3,176.01",385,"$196,177.00"
CY2019,3 - COUNTY,PROBATION TRINITY COUNTY,134,"$46,772.96",2,$796.00,21,"$1,992.56",157,"$49,561.52"
CY2019,3 - COUNTY,COUNTY MENDOCINO,177,"$53,978.37",2,$252.53,7,"$2,359.79",186,"$56,590.69"
CY2019,3 - COUNTY,COUNTY OF KINGS,343,"$139,946.83",4,$644.38,,,347,"$140,591.21"
CY2019,3 - COUNTY,COLLECTIONS MENDOCINO COUNTY COURT,972,"$353,592.54",8,"$6,396.94",24,"$2,794.41","1,004","$362,783.89"
CY2019,3 - COUNTY,SACRAMENTO COUNTY SHERIFF'S DEPT.,"1,050","$246,655.10",11,"$4,898.82",23,"$2,904.10","1,084","$254,458.02"
CY2019,3 - COUNTY,STANISLAUS COUNTY,"2,741","$1,040,786.02",31,"$40,005.50",68,"$24,583.67","2,840","$1,105,375.19"
CY2019,3 - COUNTY,DHHS-SSB HUMBOLT COUNTY,460,"$110,784.68",9,"$6,198.91",9,"$3,934.30",478,"$120,917.89"
CY2019,3 - COUNTY,MERCED COUNTY,155,"$58,375.76",3,"$2,017.93",3,$421.58,161,"$60,815.27"
CY2019,3 - COUNTY,ORANGE COUNTY TRANSPORTATION,"2,901","$365,413.07",24,"$3,435.81",90,"$7,502.70","3,015","$376,351.58"
CY2019,3 - COUNTY,SHASTA COUNTY HHSA,457,"$97,904.75",6,"$4,043.34",16,"$2,208.37",479,"$104,156.46"
CY2019,3 - COUNTY,AMADOR COUNTY TREAS/TAX COLLECTOR,13,"$6,153.42",,,1,$323.00,14,"$6,476.42"
CY2019,3 - COUNTY,COUNTY OF SHASTA,215,"$37,788.10",2,$383.43,7,$479.23,224,"$38,650.76"
CY2019,3 - COUNTY,NEVADA COUNTY TREASURER,31,"$27,479.10",,,2,$82.37,33,"$27,561.47"
CY2019,3 - COUNTY,TRANSPORTATION CORRIDOR AGENCIES,347,"$212,762.88",7,"$5,236.25",20,"$3,087.50",374,"$221,086.63"
CY2019,3 - COUNTY,SAN BENITO COUNTY,58,"$22,758.97",,,,,58,"$22,758.97"
CY2019,3 - COUNTY,ORANGE COUNTY PARKS,15,"$1,196.00",,,,,15,"$1,196.00"
CY2019,3 - COUNTY,RIVERSIDE COUNTY,13,"$3,455.27",,,,,13,"$3,455.27"
CY2019,3 - COUNTY,KERN COUNTY,16,"$3,962.22",,,1,$23.38,17,"$3,985.60"
CY2019,3 - COUNTY,MONTEREY COUNTY DEPT OF SOCIAL SERV,9,"$1,567.71",,,1,$117.03,10,"$1,684.74"
CY2019,3 - COUNTY,"SAN DIEGO ASSOC. OF GOVMTS, SANDAG",905,"$138,029.62",7,"$2,000.00",30,"$2,563.53",942,"$142,593.15"
CY2019,3 - COUNTY,MADERA COUNTY PROBATION,"1,028","$307,886.84",7,"$3,016.88",11,"$7,996.02","1,046","$318,899.74"
CY2019,3 - COUNTY,SAN BERNARDINO COUNTY,"28,228","$8,233,619.40",203,"$125,322.21",858,"$160,751.18","29,289","$8,519,692.79"
CY2019,3 - COUNTY,COUNTY OF SAN JOAQUIN,"2,865","$1,153,318.92",24,"$20,548.68",63,"$14,539.36","2,952","$1,188,406.96"
CY2019,3 - COUNTY,SAN LUIS OBISPO COUNTY PROBATION,"1,053","$340,566.80",3,"$1,988.58",38,"$27,623.98","1,094","$370,179.36"
CY2019,3 - COUNTY,SAN MATEO COUNTY SHERIFF,103,"$13,679.56",1,$100.00,1,$1.00,105,"$13,780.56"
CY2019,3 - COUNTY,COUNTY OF SONOMA,"1,559","$582,317.44",13,"$8,087.47",43,"$5,822.81","1,615","$596,227.72"
CY2019,3 - COUNTY,COUNTY OF SUTTER,284,"$72,122.44",,,12,"$2,445.37",296,"$74,567.81"
CY2019,3 - COUNTY,TULARE COUNTY PROBATION,"1,028","$115,232.95",7,"$2,696.30",13,"$1,222.76","1,048","$119,152.01"
CY2019,3 - COUNTY,MARIPOSA COUNTY PROBATION DEPT,13,"$5,305.78",,,,,13,"$5,305.78"
CY2019,3 - COUNTY,COUNTY OF RIVERSIDE,3,$528.00,1,$127.00,,,4,$655.00
CY2019,3 - COUNTY,PLACER COUNTY TREASURER-TAX COLL,38,"$23,572.61",,,3,$598.76,41,"$24,171.37"
CY2019,3 - COUNTY,SAN DIEGO COUNTY TAX COLLECTOR,15,"$13,004.54",,,2,"$16,702.69",17,"$29,707.23"
CY2019,4 - STATE,- STATE FAIR POLITICAL PRACTICES COM,11,"$7,324.37",,,,,11,"$7,324.37"
CY2019,4 - STATE,CA DEPT OF TAX AND FEE ADMIN,221,"$163,564.95",6,"$5,941.36",11,"$1,937.59",238,"$171,443.90"
CY2019,4 - STATE,CA STATE POLYTECHNIC UNIV POMONA,534,"$140,825.24",2,"$1,066.69",10,"$1,135.11",546,"$143,027.04"
CY2019,4 - STATE,CALIFORNIA STATE UNIV NORTHRIDGE,"1,056","$328,633.46",7,"$4,612.63",36,"$7,923.79","1,099","$341,169.88"
CY2019,4 - STATE,EMPLOYMENT DEVELOPMENT DEPARTMENT,"68,251","$24,265,410.86",279,"$202,325.07","1,601","$229,971.12","70,131","$24,697,707.05"
CY2019,4 - STATE,"UNIVERSITY OF CALIFORNIA, OP","3,139","$1,401,548.97",2,"$1,632.00",77,"$9,712.96","3,218","$1,412,893.93"
CY2019,4 - STATE,CSU SACRAMENTO,665,"$176,150.92",1,$86.84,19,"$1,218.97",685,"$177,456.73"
CY2019,4 - STATE,DEPT OF GENERAL SERVICES,33,"$9,767.16",2,$159.54,,,35,"$9,926.70"
CY2019,4 - STATE,RECREATION CA DEPT OF PARKS &,5,"$1,058.06",,,,,5,"$1,058.06"
CY2019,4 - STATE,RESOURCES DEPT OF WATER,6,"$1,655.75",,,,,6,"$1,655.75"
CY2019,4 - STATE,DEPT OF HEALTH CARE SERVICES,283,"$131,030.56",3,"$2,699.00",8,"$1,046.78",294,"$134,776.34"
CY2019,4 - STATE,CAL FIRE,36,"$11,457.17",2,$15.00,,,38,"$11,472.17"
CY2019,4 - STATE,UCLA,381,"$50,701.63",1,$60.00,6,$628.49,388,"$51,390.12"
CY2019,4 - STATE,EMPLOYMENT DEVELOPMENT DEPT,"3,989","$2,622,405.22",52,"$73,256.60",309,"$122,781.46","4,350","$2,818,443.28"
CY2019,4 - STATE,CORRECTIONS & REHABILITATION,163,"$63,098.25",2,$866.08,6,$474.85,171,"$64,439.18"
CY2019,4 - STATE,DEPT EMPLOYMENT DEVELOPMENT,25,"$6,074.31",2,$38.92,,,27,"$6,113.23"
CY2019,4 - STATE,DEPARTMENT OF PUBLIC HEALTH CA,7,$640.09,,,,,7,$640.09
